"ID","Sources","Emissions","Periods","EmissionsDutchTerritory_1"
"112","A025421","A044117","2009JJ00","     5.0"
"113","A025421","A044117","2010JJ00","     5.0"
"114","A025421","A044117","2011JJ00","     4.9"
"115","A025421","A044117","2012JJ00","     4.9"
"116","A025421","A044117","2013JJ00","     4.9"
"117","A025421","A044117","2014JJ00","     4.0"
"118","A025421","A044117","2015JJ00","     4.1"
"119","A025421","A044117","2016JJ00","     4.3"
"120","A025421","A044117","2017JJ00","     4.5"
"121","A025421","A044117","2018JJ00","     4.4"
"122","A025421","A044117","2019JJ00","     4.5"
"123","A025421","A044117","2020JJ00","     3.4"
"124","A025421","A044115","1990JJ00","   213.6"
"125","A025421","A044115","1991JJ00","   184.9"
"126","A025421","A044115","1992JJ00","   174.5"
"127","A025421","A044115","1993JJ00","   161.9"
"128","A025421","A044115","1994JJ00","   151.7"
"129","A025421","A044115","1995JJ00","   140.5"
"130","A025421","A044115","1996JJ00","   130.9"
"131","A025421","A044115","1997JJ00","   121.4"
"132","A025421","A044115","1998JJ00","   112.9"
"133","A025421","A044115","1999JJ00","   105.9"
"134","A025421","A044115","2000JJ00","    93.3"
"135","A025421","A044115","2001JJ00","    86.5"
"136","A025421","A044115","2002JJ00","    80.0"
"137","A025421","A044115","2003JJ00","    75.1"
"138","A025421","A044115","2004JJ00","    71.3"
"139","A025421","A044115","2005JJ00","    67.4"
"140","A025421","A044115","2006JJ00","    64.9"
"141","A025421","A044115","2007JJ00","    61.2"
"142","A025421","A044115","2008JJ00","    60.0"
"143","A025421","A044115","2009JJ00","    57.3"
"144","A025421","A044115","2010JJ00","    54.7"
"145","A025421","A044115","2011JJ00","    52.8"
"146","A025421","A044115","2012JJ00","    50.3"
"147","A025421","A044115","2013JJ00","    48.2"
"148","A025421","A044115","2014JJ00","    45.6"
"149","A025421","A044115","2015JJ00","    44.9"
"150","A025421","A044115","2016JJ00","    43.5"
"151","A025421","A044115","2017JJ00","    42.8"
"152","A025421","A044115","2018JJ00","    42.3"
"153","A025421","A044115","2019JJ00","    41.7"
"154","A025421","A044115","2020JJ00","    40.7"
"155","A025421","A044107","1990JJ00","     8.2"
"156","A025421","A044107","1991JJ00","     7.0"
"157","A025421","A044107","1992JJ00","     6.7"
"158","A025421","A044107","1993JJ00","     6.2"
"159","A025421","A044107","1994JJ00","     5.9"
"160","A025421","A044107","1995JJ00","     5.6"
"161","A025421","A044107","1996JJ00","     5.3"
"162","A025421","A044107","1997JJ00","     5.0"
"163","A025421","A044107","1998JJ00","     4.8"
"164","A025421","A044107","1999JJ00","     4.6"
"165","A025421","A044107","2000JJ00","     4.3"
"166","A025421","A044107","2001JJ00","     4.1"
"167","A025421","A044107","2002JJ00","     4.0"
"168","A025421","A044107","2003JJ00","     4.0"
"169","A025421","A044107","2004JJ00","     3.9"
"170","A025421","A044107","2005JJ00","     3.8"
"171","A025421","A044107","2006JJ00","     3.7"
"172","A025421","A044107","2007JJ00","     3.6"
"173","A025421","A044107","2008JJ00","     3.6"
"174","A025421","A044107","2009JJ00","     3.4"
"175","A025421","A044107","2010JJ00","     3.3"
"176","A025421","A044107","2011JJ00","     3.2"
"177","A025421","A044107","2012JJ00","     3.1"
"178","A025421","A044107","2013JJ00","     3.0"
"179","A025421","A044107","2014JJ00","     3.0"
"180","A025421","A044107","2015JJ00","     3.0"
"181","A025421","A044107","2016JJ00","     2.9"
"182","A025421","A044107","2017JJ00","     2.9"
"183","A025421","A044107","2018JJ00","     3.4"
"184","A025421","A044107","2019JJ00","     3.6"
"185","A025421","A044107","2020JJ00","     3.6"
"186","A025421","A044118","1990JJ00","   205.5"
"187","A025421","A044118","1991JJ00","   177.9"
"188","A025421","A044118","1992JJ00","   167.8"
"189","A025421","A044118","1993JJ00","   155.7"
"190","A025421","A044118","1994JJ00","   145.9"
"191","A025421","A044118","1995JJ00","   135.0"
"192","A025421","A044118","1996JJ00","   125.6"
"193","A025421","A044118","1997JJ00","   116.4"
"194","A025421","A044118","1998JJ00","   108.1"
"195","A025421","A044118","1999JJ00","   101.3"
"196","A025421","A044118","2000JJ00","    89.1"
"197","A025421","A044118","2001JJ00","    82.4"
"198","A025421","A044118","2002JJ00","    75.9"
"199","A025421","A044118","2003JJ00","    71.2"
"200","A025421","A044118","2004JJ00","    67.4"
