"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"69";"51400  ";"2003JJ00";" 1340890";" 1084082";"  220855";"  220855";"  184836";"   13985";"   15873";"    4865";"    1296";"";"";"";"   35953"
"70";"51400  ";"2004JJ00";" 1494618";" 1134801";"  319352";"  222221";"  185631";"   14074";"   15488";"    5442";"    1586";"   97131";"   80696";"   16435";"   40465"
"71";"51400  ";"2005JJ00";" 1397567";" 1054083";"  305107";"  203291";"  166675";"   13444";"   15983";"    5550";"    1639";"  101816";"   86300";"   15516";"   38377"
"72";"51400  ";"2006JJ00";" 1293145";"  975800";"  282064";"  181961";"  148839";"   11790";"   14570";"    5360";"    1402";"  100103";"   85711";"   14392";"   35281"
"73";"51400  ";"2007JJ00";" 1258284";"  948168";"  275544";"  172260";"  143197";"    9867";"   12827";"    4827";"    1542";"  103284";"   89413";"   13871";"   34572"
"74";"51400  ";"2008JJ00";" 1246291";"  926526";"  284435";"  177760";"  149283";"    8734";"   13651";"    4304";"    1788";"  106675";"   90445";"   16230";"   35330"
"75";"51400  ";"2009JJ00";" 1211957";"  908057";"  269565";"  168133";"  139037";"    8662";"   14431";"    3946";"    2057";"  101432";"   83449";"   17983";"   34335"
"76";"51400  ";"2010JJ00";" 1222499";"  933379";"  255916";"  156125";"  122306";"   10445";"   18033";"    3439";"    1902";"   99791";"   80008";"   19783";"   33204"
"77";"51400  ";"2011JJ00";" 1267755";"  954147";"  278247";"  172491";"  136481";"   11040";"   19632";"    3450";"    1888";"  105756";"   80916";"   24840";"   35361"
"78";"51400  ";"2012JJ00";" 1258960";"  924182";"  297515";"  190646";"  154606";"   11195";"   18895";"    3650";"    2300";"  106869";"   78964";"   27905";"   37263"
"79";"51400  ";"2013JJ00";" 1093019";"  817058";"  242027";"  156266";"  124331";"   11068";"   15277";"    3310";"    2280";"   85761";"   67108";"   18653";"   33934"
"80";"51400  ";"2014JJ00";" 1041059";"  830319";"  182806";"  116009";"   93101";"    8580";"   10029";"    2495";"    1804";"   66797";"   55955";"   10842";"   27934"
"81";"51400  ";"2015JJ00";" 1228318";" 1012851";"  191647";"  124798";"  102514";"    7349";"   11376";"    2286";"    1273";"   66849";"   53993";"   12856";"   23820"
"82";"51400  ";"2016JJ00";" 1260642";" 1039545";"  199417";"  134628";"  110585";"    7168";"   13333";"    2226";"    1316";"   64789";"   50126";"   14663";"   21680"
"83";"51400  ";"2017JJ00";" 1136460";"  930304";"  185861";"  127318";"  103241";"    6686";"   13970";"    2112";"    1309";"   58543";"   42955";"   15588";"   20295"
"84";"51400  ";"2018JJ00";" 1052270";"  847219";"  183981";"  123877";"  101639";"    5788";"   13361";"    1882";"    1207";"   60104";"   41870";"   18234";"   21070"
"85";"51400  ";"2019JJ00";" 1126923";"  901709";"  201311";"  134073";"  110772";"    5833";"   14630";"    1881";"     957";"   67238";"   45286";"   21952";"   23903"
"86";"51400  ";"2020JJ00";" 1153647";"  895582";"  231061";"  158015";"  129855";"    7224";"   17389";"    2417";"    1130";"   73046";"   49077";"   23969";"   27004"
"87";"51400  ";"2021JJ00";" 1172902";"  887074";"  256499";"  176430";"  146444";"    8003";"   17732";"    2641";"    1610";"   80069";"   54128";"   25941";"   29329"
"88";"51500  ";"2000JJ00";"  895937";"  756486";"  100190";"  100190";"   81546";"    8823";"    5811";"    2849";"    1161";"";"";"";"   39261"
"89";"51500  ";"2001JJ00";"  947033";"  808955";"  103564";"  103564";"   80204";"   10116";"    8779";"    3336";"    1129";"";"";"";"   34514"
"90";"51500  ";"2002JJ00";" 1025964";"  859930";"  131151";"  131151";"  104936";"   10847";"   10214";"    3996";"    1158";"";"";"";"   34883"
"91";"51500  ";"2003JJ00";" 1098202";"  899573";"  160926";"  160926";"  133903";"   11212";"   10012";"    4742";"    1057";"";"";"";"   37703"
"92";"51500  ";"2004JJ00";" 1271515";"  958829";"  274278";"  188339";"  158837";"   11562";"   11749";"    5180";"    1011";"   85939";"   69132";"   16807";"   38408"
"93";"51500  ";"2005JJ00";" 1414655";" 1078693";"  294573";"  203471";"  171675";"   12415";"   12534";"    5641";"    1206";"   91102";"   73476";"   17626";"   41389"
"94";"51500  ";"2006JJ00";" 1473206";" 1134864";"  294051";"  195144";"  162370";"   12479";"   12331";"    6431";"    1533";"   98907";"   82921";"   15986";"   44291"
"95";"51500  ";"2007JJ00";" 1379836";" 1060714";"  277381";"  175411";"  142509";"   12073";"   12724";"    6524";"    1581";"  101970";"   87119";"   14851";"   41741"
"96";"51500  ";"2008JJ00";" 1280241";"  982628";"  258595";"  159210";"  129514";"   10589";"   11553";"    6219";"    1335";"   99385";"   86056";"   13329";"   39018"
"97";"51500  ";"2009JJ00";" 1242152";"  951908";"  251541";"  149706";"  123966";"    8730";"    9918";"    5632";"    1460";"  101835";"   89169";"   12666";"   38703"
"98";"51500  ";"2010JJ00";" 1254381";"  949814";"  264596";"  159626";"  134815";"    7697";"   10664";"    4820";"    1630";"  104970";"   90067";"   14903";"   39971"
"99";"51500  ";"2011JJ00";" 1224501";"  931647";"  254078";"  154044";"  128160";"    7850";"   12152";"    4025";"    1857";"  100034";"   83119";"   16915";"   38776"
"100";"51500  ";"2012JJ00";" 1203217";"  930749";"  235062";"  137139";"  106926";"    9558";"   15490";"    3368";"    1797";"   97923";"   79331";"   18592";"   37406"
"101";"51500  ";"2013JJ00";" 1207442";"  915974";"  252437";"  149320";"  117661";"   10120";"   16457";"    3310";"    1772";"  103117";"   80159";"   22958";"   39031"
"102";"51500  ";"2014JJ00";" 1185213";"  874899";"  269809";"  166538";"  134009";"   10534";"   16339";"    3526";"    2130";"  103271";"   78150";"   25121";"   40505"
"103";"51500  ";"2015JJ00";" 1056498";"  795373";"  224437";"  140907";"  111922";"   10509";"   13202";"    3202";"    2072";"   83530";"   66477";"   17053";"   36688"
"104";"51500  ";"2016JJ00";" 1039206";"  833683";"  175298";"  109138";"   87935";"    8261";"    8803";"    2491";"    1648";"   66160";"   55609";"   10551";"   30225"
"105";"51500  ";"2017JJ00";" 1229732";" 1018038";"  185584";"  119327";"   98615";"    7135";"   10050";"    2304";"    1223";"   66257";"   53819";"   12438";"   26110"
"106";"51500  ";"2018JJ00";" 1265760";" 1049386";"  192233";"  128328";"  106172";"    6935";"   11662";"    2317";"    1242";"   63905";"   49946";"   13959";"   24141"
"107";"51500  ";"2019JJ00";" 1138058";"  935678";"  179248";"  121935";"   99792";"    6495";"   12197";"    2202";"    1249";"   57313";"   42912";"   14401";"   23132"
"108";"51500  ";"2020JJ00";" 1050527";"  848224";"  177902";"  119413";"   98670";"    5662";"   11971";"    1952";"    1158";"   58489";"   41729";"   16760";"   24401"
"109";"51500  ";"2021JJ00";" 1102816";"  878116";"  196447";"  130146";"  108128";"    5667";"   13562";"    1907";"     882";"   66301";"   45212";"   21089";"   28253"
"110";"51700  ";"2000JJ00";" 1030848";"  873574";"  114867";"  114867";"   91307";"   10780";"    6236";"    4969";"    1575";"";"";"";"   42407"
"111";"51700  ";"2001JJ00";"  951742";"  794775";"  111660";"  111660";"   93032";"    8424";"    4588";"    4404";"    1212";"";"";"";"   45307"
"112";"51700  ";"2002JJ00";"  882038";"  749824";"   89686";"   89686";"   73883";"    7210";"    3901";"    3639";"    1053";"";"";"";"   42528"
"113";"51700  ";"2003JJ00";"  935475";"  804045";"   91981";"   91981";"   72992";"    8057";"    5664";"    4211";"    1057";"";"";"";"   39449"
"114";"51700  ";"2004JJ00";" 1065650";"  836074";"  189606";"  117052";"   96063";"    8547";"    6605";"    4765";"    1072";"   72554";"   60320";"   12234";"   39970"
"115";"51700  ";"2005JJ00";" 1129399";"  864171";"  223431";"  141960";"  120360";"    8876";"    6525";"    5255";"     944";"   81471";"   68109";"   13362";"   41797"
"116";"51700  ";"2006JJ00";" 1215559";"  929587";"  243741";"  157424";"  133502";"    9269";"    7659";"    6107";"     887";"   86317";"   71132";"   15185";"   42231"
"117";"51700  ";"2007JJ00";" 1353115";" 1053123";"  255111";"  165601";"  139530";"    9995";"    8382";"    6575";"    1119";"   89510";"   73700";"   15810";"   44881"
"118";"51700  ";"2008JJ00";" 1416777";" 1107500";"  261376";"  164200";"  136847";"   10347";"    8435";"    7118";"    1453";"   97176";"   82993";"   14183";"   47901"
"119";"51700  ";"2009JJ00";" 1324655";" 1029233";"  250094";"  149875";"  122982";"   10024";"    8272";"    7167";"    1430";"  100219";"   87009";"   13210";"   45328"
"120";"51700  ";"2010JJ00";" 1247704";"  968011";"  237066";"  139031";"  115383";"    8592";"    7218";"    6653";"    1185";"   98035";"   85930";"   12105";"   42627"
"121";"51700  ";"2011JJ00";" 1219981";"  942479";"  235159";"  134837";"  114002";"    7160";"    6815";"    5697";"    1163";"  100322";"   88745";"   11577";"   42343"
"122";"51700  ";"2012JJ00";" 1209184";"  922885";"  242981";"  140395";"  120400";"    6292";"    7707";"    4669";"    1327";"  102586";"   89168";"   13418";"   43318"
"123";"51700  ";"2013JJ00";" 1180278";"  912430";"  226113";"  129281";"  109813";"    6302";"    8021";"    3855";"    1290";"   96832";"   81959";"   14873";"   41735"
"124";"51700  ";"2014JJ00";" 1168306";"  920572";"  207730";"  113012";"   90296";"    7717";"   10584";"    3162";"    1253";"   94718";"   78191";"   16527";"   40004"
"125";"51700  ";"2015JJ00";" 1176268";"  905593";"  228763";"  128944";"  103836";"    8622";"   11997";"    3116";"    1373";"   99819";"   79044";"   20775";"   41912"
"126";"51700  ";"2016JJ00";" 1170069";"  874606";"  252050";"  151744";"  124570";"    9500";"   12448";"    3366";"    1860";"  100306";"   77026";"   23280";"   43413"
"127";"51700  ";"2017JJ00";" 1065375";"  813637";"  212325";"  130541";"  106214";"    9455";"    9805";"    3141";"    1926";"   81784";"   65620";"   16164";"   39413"
"128";"51700  ";"2018JJ00";" 1063497";"  862739";"  168045";"  102785";"   84526";"    7561";"    6651";"    2489";"    1558";"   65260";"   55078";"   10182";"   32713"
"129";"51700  ";"2019JJ00";" 1246299";" 1040317";"  177421";"  112248";"   94686";"    6550";"    7536";"    2288";"    1188";"   65173";"   53290";"   11883";"   28561"
"130";"51700  ";"2020JJ00";" 1270715";" 1063587";"  180301";"  117947";"  100166";"    6203";"    8133";"    2270";"    1175";"   62354";"   49488";"   12866";"   26827"
"131";"51700  ";"2021JJ00";" 1146633";"  952014";"  168460";"  112778";"   94949";"    5714";"    8726";"    2209";"    1180";"   55682";"   42511";"   13171";"   26159"
"132";"A028286";"2000JJ00";" 1256572";" 1113785";"   92903";"   92903";"   66722";"   12869";"    4936";"    6104";"    2272";"";"";"";"   49884"
"133";"A028286";"2001JJ00";" 1295340";" 1136368";"  104751";"  104751";"   78117";"   12246";"    4762";"    7174";"    2452";"";"";"";"   54221"
"134";"A028286";"2002JJ00";" 1360429";" 1172186";"  126105";"  126105";"   98895";"   11912";"    4712";"    8266";"    2320";"";"";"";"   62138"
"135";"A028286";"2003JJ00";" 1312392";" 1113799";"  128285";"  128285";"  104835";"    9751";"    3558";"    8288";"    1853";"";"";"";"   70308"
"136";"A028286";"2004JJ00";" 1367808";" 1075401";"  222654";"  118655";"   97653";"    8873";"    3318";"    7293";"    1518";"  103999";"   91960";"   12039";"   69753"
"137";"A028286";"2005JJ00";" 1324313";" 1043087";"  214344";"  108521";"   88439";"    8128";"    3812";"    6771";"    1371";"  105823";"   93303";"   12520";"   66882"
"138";"A028286";"2006JJ00";" 1393615";" 1108065";"  222312";"  113926";"   91411";"    8895";"    4629";"    7683";"    1308";"  108386";"   94355";"   14031";"   63238"
"139";"A028286";"2007JJ00";" 1468768";" 1152504";"  251140";"  137097";"  112648";"    9192";"    5219";"    8878";"    1160";"  114043";"   98732";"   15311";"   65124"
"140";"A028286";"2008JJ00";" 1589430";" 1239100";"  283830";"  165315";"  138597";"    9845";"    6282";"    9478";"    1113";"  118515";"  101949";"   16566";"   66500"
"141";"A028286";"2009JJ00";" 1746865";" 1367552";"  308762";"  181903";"  153968";"   10163";"    6187";"   10363";"    1222";"  126859";"  109410";"   17449";"   70551"
"142";"A028286";"2010JJ00";" 1877246";" 1481487";"  322848";"  189149";"  160650";"   10562";"    5831";"   10690";"    1416";"  133699";"  116038";"   17661";"   72911"
"143";"A028286";"2011JJ00";" 1871683";" 1473733";"  324628";"  182117";"  153621";"   10526";"    6114";"   10434";"    1422";"  142511";"  124815";"   17696";"   73322"
"144";"A028286";"2012JJ00";" 1774228";" 1388919";"  315326";"  171611";"  144713";"    9779";"    6014";"    9799";"    1306";"  143715";"  127513";"   16202";"   69983"
"145";"A028286";"2013JJ00";" 1683193";" 1309088";"  306548";"  161276";"  137354";"    8380";"    5814";"    8534";"    1194";"  145272";"  129660";"   15612";"   67557"
"146";"A028286";"2014JJ00";" 1680678";" 1302540";"  310794";"  165708";"  144306";"    7163";"    5801";"    7354";"    1084";"  145086";"  128741";"   16345";"   67344"
"147";"A028286";"2015JJ00";" 1656533";" 1289715";"  300657";"  157367";"  137400";"    6688";"    6193";"    5892";"    1194";"  143290";"  124965";"   18325";"   66161"
"148";"A028286";"2016JJ00";" 1664983";" 1307849";"  292186";"  153251";"  130897";"    7948";"    8375";"    4863";"    1168";"  138935";"  118090";"   20845";"   64948"
"149";"A028286";"2017JJ00";" 1659395";" 1297870";"  296289";"  156098";"  131654";"    8942";"    9577";"    4321";"    1604";"  140191";"  115210";"   24981";"   65236"
"150";"A028286";"2018JJ00";" 1691961";" 1304104";"  320453";"  178921";"  150217";"   11039";"   11369";"    4422";"    1874";"  141532";"  113401";"   28131";"   67404"
"151";"A028286";"2019JJ00";" 1603817";" 1239435";"  299171";"  171936";"  144987";"   11084";"    9294";"    4388";"    2183";"  127235";"  102811";"   24424";"   65211"
"152";"A028286";"2020JJ00";" 1616604";" 1296685";"  261316";"  152636";"  129493";"    9990";"    7267";"    3830";"    2056";"  108680";"   90087";"   18593";"   58603"
"153";"A028286";"2021JJ00";" 1706028";" 1420484";"  235009";"  140104";"  120400";"    8550";"    6324";"    3320";"    1510";"   94905";"   79889";"   15016";"   50535"
"154";"80007  ";"2000JJ00";"  915804";"  785691";"   64548";"   64548";"   49725";"    7968";"    1604";"    3889";"    1362";"";"";"";"   65565"
"155";"80007  ";"2001JJ00";"  906108";"  782488";"   62486";"   62486";"   46268";"    8378";"    1796";"    4648";"    1396";"";"";"";"   61134"
"156";"80007  ";"2002JJ00";"  878300";"  768217";"   57962";"   57962";"   41153";"    8121";"    1807";"    5408";"    1473";"";"";"";"   52121"
"157";"80007  ";"2003JJ00";"  871798";"  761297";"   58499";"   58499";"   40491";"    7958";"    1932";"    6302";"    1816";"";"";"";"   52002"
"158";"80007  ";"2004JJ00";" 1008527";"  784235";"  168022";"   67275";"   48502";"    7536";"    1823";"    7449";"    1965";"  100747";"   90376";"   10371";"   56270"
"159";"80007  ";"2005JJ00";" 1067474";"  816550";"  186626";"   80166";"   60555";"    7550";"    1903";"    8436";"    1722";"  106460";"   95439";"   11021";"   64298"
"160";"80007  ";"2006JJ00";" 1041490";"  792609";"  177948";"   73253";"   55825";"    6398";"    1569";"    8329";"    1132";"  104695";"   94436";"   10259";"   70933"
"161";"80007  ";"2007JJ00";" 1038612";"  800547";"  167722";"   64320";"   48246";"    6001";"    1588";"    7571";"     914";"  103402";"   93985";"    9417";"   70343"
