"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"198";"70500  ";"2000JJ00";"  103638";"   52114";"   11526";"   11526";"    5750";"    2104";"     186";"    3165";"     321";"";"";"";"   39998"
"199";"70500  ";"2001JJ00";"  107556";"   49857";"   12537";"   12537";"    6533";"    2182";"     213";"    3240";"     369";"";"";"";"   45162"
"200";"70500  ";"2002JJ00";"  109985";"   49334";"   12357";"   12357";"    6553";"    2056";"     211";"    3126";"     411";"";"";"";"   48294"
"201";"70500  ";"2003JJ00";"  120583";"   53662";"   12099";"   12099";"    6475";"    1962";"     217";"    3008";"     437";"";"";"";"   54822"
"202";"70500  ";"2004JJ00";"  190773";"   57305";"   76141";"   11489";"    6311";"    1852";"     229";"    2713";"     384";"   64652";"   61058";"    3594";"   57327"
"203";"70500  ";"2005JJ00";"  202380";"   60607";"   79338";"   11735";"    6728";"    1902";"     250";"    2521";"     334";"   67603";"   63822";"    3781";"   62435"
"204";"70500  ";"2006JJ00";"  226820";"   72043";"   83350";"   12692";"    7335";"    2149";"     275";"    2646";"     287";"   70658";"   66786";"    3872";"   71427"
"205";"70500  ";"2007JJ00";"  266173";"   91073";"   92671";"   14731";"    8434";"    2557";"     358";"    3123";"     259";"   77940";"   73919";"    4021";"   82429"
"206";"70500  ";"2008JJ00";"  296781";"  108317";"  103820";"   17490";"    9887";"    3080";"     422";"    3886";"     215";"   86330";"   81945";"    4385";"   84644"
"207";"70500  ";"2009JJ00";"  318218";"  118034";"  114488";"   19084";"    9940";"    3580";"     525";"    4820";"     219";"   95404";"   90393";"    5011";"   85696"
"208";"70500  ";"2010JJ00";"  337741";"  127294";"  126664";"   20314";"    9913";"    3754";"     535";"    5883";"     229";"  106350";"  100606";"    5744";"   83783"
"209";"70500  ";"2011JJ00";"  355851";"  137614";"  138157";"   21080";"    9764";"    3736";"     539";"    6798";"     243";"  117077";"  110696";"    6381";"   80080"
"210";"70500  ";"2012JJ00";"  365568";"  139884";"  148565";"   22612";"    9966";"    3620";"     538";"    8249";"     239";"  125953";"  119185";"    6768";"   77119"
"211";"70500  ";"2013JJ00";"  387165";"  149542";"  156993";"   24932";"   11044";"    3483";"     580";"    9616";"     209";"  132061";"  124912";"    7149";"   80630"
"212";"70500  ";"2014JJ00";"  401900";"  156337";"  159409";"   25666";"   11744";"    3106";"     573";"   10073";"     170";"  133743";"  126834";"    6909";"   86154"
"213";"70500  ";"2015JJ00";"  423780";"  174716";"  160116";"   25064";"   11105";"    2995";"     632";"   10152";"     180";"  135052";"  128334";"    6718";"   88948"
"214";"70500  ";"2016JJ00";"  445118";"  195603";"  159237";"   25512";"   11083";"    2820";"     743";"   10665";"     201";"  133725";"  126832";"    6893";"   90278"
"215";"70500  ";"2017JJ00";"  474049";"  223709";"  160122";"   27147";"   12827";"    2747";"     870";"   10485";"     218";"  132975";"  125485";"    7490";"   90218"
"216";"70500  ";"2018JJ00";"  515568";"  257761";"  167372";"   30107";"   15904";"    2720";"     924";"   10318";"     241";"  137265";"  129402";"    7863";"   90435"
"217";"70500  ";"2019JJ00";"  571370";"  306748";"  174180";"   34953";"   19856";"    2944";"    1105";"   10822";"     226";"  139227";"  130844";"    8383";"   90442"
