,year,gas,emission
1180,1992,CH4,4.1
1181,1993,CH4,3.7
1182,1994,CH4,3.4
1183,1995,CH4,3.2
1184,1996,CH4,3.0
1185,1997,CH4,2.8
1186,1998,CH4,2.5
1187,1999,CH4,2.4
1188,2000,CH4,2.2
1189,2001,CH4,2.1
1190,2002,CH4,2.1
1191,2003,CH4,2.1
1192,2004,CH4,2.1
1193,2005,CH4,2.0
1194,2006,CH4,2.0
1195,2007,CH4,2.0
1196,2008,CH4,1.9
1197,2009,CH4,1.9
1198,2010,CH4,1.8
1199,2011,CH4,1.8
1200,2012,CH4,1.7
1201,2013,CH4,1.7
1202,2014,CH4,1.7
1203,2015,CH4,1.7
1204,2016,CH4,1.7
1205,2017,CH4,1.7
1206,2018,CH4,1.6
1207,2019,CH4,1.6
1208,2020,CH4,1.6
1209,1990,NMVOS,134.6
1210,1991,NMVOS,113.4
1211,1992,NMVOS,104.6
1212,1993,NMVOS,92.0
1213,1994,NMVOS,83.4
1214,1995,NMVOS,75.0
1215,1996,NMVOS,68.0
1216,1997,NMVOS,60.0
1217,1998,NMVOS,53.1
1218,1999,NMVOS,47.4
1219,2000,NMVOS,38.2
1220,2001,NMVOS,33.2
1221,2002,NMVOS,29.1
1222,2003,NMVOS,25.9
1223,2004,NMVOS,23.6
1224,2005,NMVOS,21.3
1225,2006,NMVOS,19.7
1226,2007,NMVOS,18.9
1227,2008,NMVOS,18.3
1228,2009,NMVOS,17.4
1229,2010,NMVOS,16.8
1230,2011,NMVOS,16.6
1231,2012,NMVOS,15.9
1232,2013,NMVOS,15.5
1233,2014,NMVOS,14.8
1234,2015,NMVOS,14.8
1235,2016,NMVOS,14.6
1236,2017,NMVOS,14.7
1237,2018,NMVOS,14.1
1238,2019,NMVOS,14.1
1239,2020,NMVOS,14.1
1240,1990,NOx,142.7
1241,1991,NOx,130.4
1242,1992,NOx,121.9
1243,1993,NOx,109.3
1244,1994,NOx,100.6
1245,1995,NOx,91.2
