year;fuel_type;emission
1980;gas;79122051
1981;gas;81491024
1982;gas;62682001
1983;gas;66695792
1984;gas;70528336
1985;gas;74065932
1986;gas;66977920
1987;gas;69223952
1988;gas;62735008
1989;gas;76815760
1990;gas;73122423
1991;gas;81308365
1992;gas;79300136
1993;gas;81861340
1994;gas;78700402
1995;gas;81002937
1996;gas;89999535
1997;gas;84033286
1998;gas;83207511
1999;gas;81288857
2000;gas;81325801
2001;gas;83390485
2002;gas;82497351
2003;gas;83106734
2004;gas;85426806
2005;gas;82842938
2006;gas;80276661
2007;gas;77784452
2008;gas;81492262
2009;gas;81913440
2010;gas;91742369
2011;gas;79944946
2012;gas;76252526
2013;gas;76947365
2014;gas;67011152
2015;gas;66164669
2016;gas;68997195
2017;gas;70743702
2018;gas;69850168
2019;gas;72691459
2020;gas;70745161
1851;cement;0
1852;cement;0
1853;cement;0
1854;cement;0
1855;cement;0
1856;cement;0
1857;cement;0
1858;cement;0
1859;cement;0
1860;cement;0
1861;cement;0
1862;cement;0
1863;cement;0
1864;cement;0
1865;cement;0
1866;cement;0
1867;cement;0
1868;cement;0
1869;cement;0
1870;cement;0
1871;cement;0
1872;cement;0
1873;cement;0
1874;cement;0
1875;cement;0
1876;cement;0
1877;cement;0
1878;cement;0
1879;cement;0
1880;cement;0
1881;cement;0
1882;cement;0
1883;cement;0
1884;cement;0
1885;cement;0
1886;cement;0
1887;cement;0
1888;cement;0
1889;cement;0
1890;cement;0
1891;cement;0
1892;cement;0
1893;cement;0
1894;cement;0
1895;cement;0
1896;cement;0
1897;cement;0
1898;cement;0
1899;cement;0
1900;cement;0
1901;cement;0
1902;cement;0
1903;cement;0
1904;cement;0
1905;cement;0
1906;cement;0
1907;cement;0
1908;cement;0
1909;cement;0
1910;cement;0
1911;cement;0
1912;cement;0
1913;cement;0
1914;cement;0
1915;cement;0
1916;cement;0
1917;cement;0
1918;cement;0
1919;cement;0
1920;cement;0
1921;cement;0
1922;cement;0
1923;cement;0
1924;cement;0
1925;cement;0
1926;cement;0
1927;cement;0
1928;cement;0
1929;cement;105385
1930;cement;109029
1931;cement;98134
1932;cement;127189
1933;cement;178080
1934;cement;196251
1935;cement;178080
1936;cement;199886
1937;cement;218057
1938;cement;225326
1939;cement;268937
1940;cement;0
1941;cement;228937
1942;cement;181714
1943;cement;178080
1944;cement;105394
1945;cement;112663
1946;cement;199886
1947;cement;258055
1948;cement;290720
1949;cement;272571
1950;cement;294377
1951;cement;345257
1952;cement;403379
1953;cement;425211
1954;cement;479726
1955;cement;545110
1956;cement;621463
1957;cement;654208
1958;cement;675977
1959;cement;792274
1960;cement;890400
1961;cement;941280
1962;cement;995794
1963;cement;1028544
1964;cement;1421005
1965;cement;1468251
1966;cement;1562742
1967;cement;1653599
1968;cement;1697211
1969;cement;1628159
1970;cement;1893413
1971;cement;1921453
1972;cement;1833991
1973;cement;1779495
1974;cement;1707672
1975;cement;1477032
1976;cement;1319616
1977;cement;1404082
1978;cement;1336988
1979;cement;1190946
1980;cement;1133543
1981;cement;940885
1982;cement;820973
1983;cement;763411
1984;cement;718857
1985;cement;603237
1986;cement;583438
1987;cement;494245
1988;cement;512006
1989;cement;462892
1990;cement;415800
1991;cement;497880
1992;cement;449000
1993;cement;458000
1994;cement;463000
1995;cement;428000
1996;cement;316000
1997;cement;376000
1998;cement;432000
1999;cement;517000
2000;cement;469000
2001;cement;478000
2002;cement;488790
2003;cement;433922
2004;cement;445866
2005;cement;420721
2006;cement;399936
2007;cement;402967
2008;cement;398937
2009;cement;416211
2010;cement;348186
2011;cement;350955
2012;cement;308087
2013;cement;274032
2014;cement;282303
2015;cement;249424
2016;cement;238980
2017;cement;297969
2018;cement;220412
2019;cement;6337
2020;cement;6337
1851;flaring;0
1852;flaring;0
1853;flaring;0
1854;flaring;0
1855;flaring;0
1856;flaring;0
1857;flaring;0
1858;flaring;0
1859;flaring;0
1860;flaring;0
1861;flaring;0
1862;flaring;0
1863;flaring;0
1864;flaring;0
1865;flaring;0
1866;flaring;0
1867;flaring;0
1868;flaring;0
1869;flaring;0
1870;flaring;0
1871;flaring;0
1872;flaring;0
1873;flaring;0
1874;flaring;0
1875;flaring;0
1876;flaring;0
1877;flaring;0
1878;flaring;0
1879;flaring;0
1880;flaring;0
1881;flaring;0
1882;flaring;0
1883;flaring;0
1884;flaring;0
1885;flaring;0
1886;flaring;0
1887;flaring;0
1888;flaring;0
1889;flaring;0
1890;flaring;0
1891;flaring;0
1892;flaring;0
1893;flaring;0
1894;flaring;0
1895;flaring;0
1896;flaring;0
1897;flaring;0
1898;flaring;0
1899;flaring;0
1900;flaring;0
1901;flaring;0
1902;flaring;0
1903;flaring;0
1904;flaring;0
1905;flaring;0
1906;flaring;0
1907;flaring;0
1908;flaring;0
1909;flaring;0
1910;flaring;0
1911;flaring;0
