EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 18-11-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 108974) of NETHERLANDS, AMSTERDAM (STAID: 2358)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  2358,108974,19320510,    0,    0
  2358,108974,19320511,    7,    0
  2358,108974,19320512,   10,    0
  2358,108974,19320513,    0,    0
  2358,108974,19320514,    4,    0
  2358,108974,19320515,    0,    0
  2358,108974,19320516,   11,    0
  2358,108974,19320517,    0,    0
  2358,108974,19320518,    0,    0
  2358,108974,19320519,   13,    0
  2358,108974,19320520,   34,    0
  2358,108974,19320521,    0,    0
  2358,108974,19320522,   78,    0
  2358,108974,19320523,  227,    0
  2358,108974,19320524,    5,    0
  2358,108974,19320525,    0,    0
  2358,108974,19320526,    0,    0
  2358,108974,19320527,    0,    0
  2358,108974,19320528,    0,    0
  2358,108974,19320529,    2,    0
  2358,108974,19320530,    0,    0
  2358,108974,19320531,   54,    0
  2358,108974,19320601,    0,    0
  2358,108974,19320602,    0,    0
  2358,108974,19320603,    0,    0
  2358,108974,19320604,    0,    0
  2358,108974,19320605,    0,    0
  2358,108974,19320606,    0,    0
  2358,108974,19320607,    0,    0
  2358,108974,19320608,    0,    0
  2358,108974,19320609,    0,    0
  2358,108974,19320610,    0,    0
  2358,108974,19320611,    0,    0
  2358,108974,19320612,    0,    0
  2358,108974,19320613,    0,    0
  2358,108974,19320614,    0,    0
  2358,108974,19320615,    0,    0
  2358,108974,19320616,    0,    0
  2358,108974,19320617,    0,    0
  2358,108974,19320618,    0,    0
  2358,108974,19320619,    0,    0
  2358,108974,19320620,    0,    0
  2358,108974,19320621,   20,    0
  2358,108974,19320622,   39,    0
  2358,108974,19320623,    0,    0
  2358,108974,19320624,   14,    0
  2358,108974,19320625,    0,    0
  2358,108974,19320626,    0,    0
  2358,108974,19320627,    0,    0
  2358,108974,19320628,   16,    0
  2358,108974,19320629,    0,    0
  2358,108974,19320630,    0,    0
  2358,108974,19320701,   85,    0
  2358,108974,19320702,    0,    0
  2358,108974,19320703,    0,    0
  2358,108974,19320704,    0,    0
  2358,108974,19320705,   27,    0
  2358,108974,19320706,   54,    0
  2358,108974,19320707,    0,    0
  2358,108974,19320708,    0,    0
  2358,108974,19320709,    0,    0
  2358,108974,19320710,    0,    0
  2358,108974,19320711,    0,    0
  2358,108974,19320712,    7,    0
  2358,108974,19320713,   33,    0
  2358,108974,19320714,    0,    0
  2358,108974,19320715,    6,    0
  2358,108974,19320716,   50,    0
  2358,108974,19320717,    3,    0
  2358,108974,19320718,   12,    0
  2358,108974,19320719,    0,    0
  2358,108974,19320720,   38,    0
  2358,108974,19320721,    0,    0
  2358,108974,19320722,   89,    0
  2358,108974,19320723,   38,    0
  2358,108974,19320724,   18,    0
  2358,108974,19320725,   65,    0
  2358,108974,19320726,   61,    0
  2358,108974,19320727,   78,    0
  2358,108974,19320728,   76,    0
  2358,108974,19320729,   53,    0
  2358,108974,19320730,    4,    0
  2358,108974,19320731,   23,    0
  2358,108974,19320801,    0,    0
  2358,108974,19320802,    6,    0
  2358,108974,19320803,   12,    0
  2358,108974,19320804,    2,    0
  2358,108974,19320805,    0,    0
  2358,108974,19320806,    0,    0
